x,y,,yfiltered,ycorrected
,,67,2.060683114,1.961060984
,,68,2.146105091,2.010021146
,,69,2.235490434,2.00065164
,,70,2.328477082,1.880109466
,,71,2.424619844,2.040743968
,,72,2.523396274,2.438385551
,,73,2.624217221,2.664393648
,,74,2.726441377,2.829840434
,,75,2.82939201,2.81287099
,,76,2.93237411,3.000674452
,,77,3.034691004,3.283178102
,,78,3.135660056,3.111921814
,,79,3.234627048,3.429730421
,,80,3.330978942,3.317268438
,,81,3.424155102,3.434640693
,,82,3.513657244,3.869714245
,,83,3.599058136,3.854436857
,,84,3.680008369,3.721213592
,,85,3.7562404,3.812118589
,,86,3.827569857,3.868357885
,,87,3.893894905,4.189073873
,,88,3.955194185,3.939830579
,,89,4.011523208,4.0215502
,,90,4.063009125,4.191133638
,,91,4.109844243,4.026972055
,,92,4.152278742,4.322496281
,,93,4.190612771,4.093861459
,,94,4.225188001,4.252366634
,,95,4.256378773,4.286651075
,,96,4.284583093,4.095897653
,,97,4.310213793,4.267026155
,,98,4.333690286,4.31401222
,,99,4.355431296,4.260018106
,,100,4.375848652,4.294330712
,,101,4.395342008,4.494857755
,,102,4.414294355,4.414324877
,,103,4.433067976,4.283789926
,,104,4.452000572,4.432787224
,,105,4.471401728,4.506276035
,,106,4.491550018,4.361882679
,,107,4.512690787,4.396552337
,,108,4.535034608,4.88050655
,,109,4.558756231,4.440577456
,,110,4.583993479,4.462656082
,,111,4.610845684,4.568664964
,,112,4.639372174,4.545657746
,,113,4.669591586,4.626325787
,,114,4.701482314,4.596729028
,,115,4.734984068,4.710356886
,,116,4.77000049,4.680590096
,,117,4.806402796,4.74234055
,,118,4.844034412,4.804317502
,,119,4.882716494,5.184820232
,,120,4.922253871,4.823304284
,,121,4.962440583,5.004633005
,,122,5.00306454,5.000942156
,,123,5.043911415,5.389780848
,,124,5.084767778,5.059909802
,,125,5.125422995,5.056212982
,,126,5.165669651,5.065798392
,,127,5.205303234,5.255053822
,,128,5.244122057,5.138168042
,,129,5.281927767,5.513896974
,,130,5.318526141,5.263912849
,,131,5.353727631,5.32015892
,,132,5.387347387,5.303127296
,,133,5.419205119,5.366028988
,,134,5.449125382,5.415586905
,,135,5.476938621,5.571373807
,,136,5.502482827,5.448104093
,,137,5.525605423,5.497595714
,,138,5.546165158,5.467303817
,,139,5.564034148,5.820437343
,,140,5.579100031,5.526359466
,,141,5.591267812,5.655190217
,,142,5.600460931,5.518965429
,,143,5.606621668,5.634604158
,,144,5.609711336,5.630921329
